CID,Date of Last Certification,Brand,Product,Model Number,Category,Hardware Version,Firmware Version,Operating System,Frequency Band(s),2.4 GHz Spectrum Capabilities,5 GHz Spectrum Capabilities,6 GHz Spectrum Capabilities,Additional Features,CWG-RF,Miracast®,Passpoint®,Protected Management Frames,Spectrum & Regulatory,Sub-1 GHz Spectrum Capabilities,TDLS,Voice-Enterprise,Wi-Fi Aware™,Wi-Fi Agile Multiband™,Wi-Fi CERTIFIED 7™,Wi-Fi CERTIFIED HaLow™,Wi-Fi CERTIFIED WiGig™,Wi-Fi CERTIFIED 6®,Wi-Fi CERTIFIED™ a,Wi-Fi CERTIFIED™ ac,Wi-Fi CERTIFIED™ b,Wi-Fi CERTIFIED™ g,Wi-Fi CERTIFIED™ n,Wi-Fi Data Elements™,Wi-Fi Easy Connect™,Wi-Fi EasyMesh™,Wi-Fi Home Design™,Wi-Fi Location™,Wi-Fi Optimized Connectivity™,Wi-Fi Protected Setup™,Wi-Fi Enhanced Open™,Wi-Fi QoS Management™,Wi-Fi Vantage™,WMM®,WMM®-Admission Control,WMM®-Power Save,WPA2™-Enterprise,WPA2™-Personal,Wi-Fi Direct®,WPA3™-Enterprise,WPA3™-Personal
WFA126057,2024-11-26,MediaTek Inc.,MediaTek Filogic 360 - MT7925,MediaTek Filogic 360 - MT7925,Other,NGFF,,Windows,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
WFA133589,2024-11-19,Hewlett Packard Enterprise,AP-754,754,Routers,Onboard,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA133587,2024-11-19,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar EG8145B7-50,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA126057,2024-11-22,MediaTek Inc.,MediaTek Filogic 360 - MT7925,MediaTek Filogic 360 - MT7925,Other,NGFF,,Windows,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
WFA133505,2024-11-18,Hewlett Packard Enterprise,AP-735,AP-735,Routers,Onboard,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA133485,2024-11-12,"Nubia Technology Co., Ltd.",Satellite mobile terminal 5G,NX733J,Phones,PCIe,,Android15,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA133476,2024-11-18,ZTE Corporation,Home Gateway,ZXHN F6705,Routers,PCIE,,Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA133475,2024-11-18,ZTE Corporation,Home Gateway,ZXHN F8705E,Routers,PCIE,,Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA133474,2024-11-18,ZTE Corporation,Home Gateway,ZXHN F6177E,Routers,PCIE,,Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA133459,2024-11-11,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar HG8145B7N-50,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes
